street,depth
Haagwiesenweg,30–50 cm
Enggasse,50–100 cm
Akazienweg,30–50 cm
Kreuzbergstraße,50–100 cm
Am Falltor,30–50 cm
Kalkbergstraße,50–100 cm
Schliedererstraße,50–100 cm
Bauerndoktor-Gros-Straße,50–100 cm
Baumgartenstraße,50–100 cm
Im Ringel,30–50 cm
Lachener Straße,50–100 cm
Europastraße,30–50 cm
Kreuzstraße,30–50 cm
Im Drötschgarten,30–50 cm
Von-Dalheim-Straße,30–50 cm
Kurt-Schumacher-Straße,30–50 cm
Im Döppelter,50–100 cm
Geschwister-Scholl-Straße,30–50 cm
Weinbachstraße,50–100 cm
Schwimmbadstraße,50–100 cm
Kardinal-Wendel-Straße,30–50 cm
Prälat-Hartz-Straße,50–100 cm
Franz-Kugler-Straße,50–100 cm
Kapellenstraße,50–100 cm
Erika-Köth-Straße,50–100 cm
Sankt-Martiner-Straße,50–100 cm
Neugasse,30–50 cm
Rathausstraße,50–100 cm
Gerichtstraße,30–50 cm
Brunnenstraße,50–100 cm
Sulzwiesenweg,50–100 cm
Breslauer Straße,30–50 cm
Heinrich-Strieffler-Straße,30–50 cm
Sandfeldweg,30–50 cm
Otto-Dill-Straße,30–50 cm
Schlachthofstraße,30–50 cm
Martin-Luther-Straße,50–100 cm
Von-der-Tann-Straße,30–50 cm
Königsgartenstraße,50–100 cm
Habergartenstraße,50–100 cm
Eckstraße,50–100 cm
Massastraße,50–100 cm
Stiftstraße,30–50 cm
Im Kirchenstück,30–50 cm
Diedesfelder Straße,30–50 cm
Blumenstraße,30–50 cm
Am Bürgergarten,30–50 cm
Gienanthstraße,50–100 cm
Rohgasse,50–100 cm
Hahnenweg,50–100 cm
Am Altenweg,50–100 cm
Am Weißen Haus,30–50 cm
Röhrweidenweg,50–100 cm
Rolandsberg,30–50 cm
Neubergstraße,30–50 cm
Rilkestraße,50–100 cm
Am Herzel,30–50 cm
Holzmühlstraße,50–100 cm
Talwiesenstraße,30–50 cm
An der Südumgehung,50–100 cm
Johannes-Damm-Straße,30–50 cm
Spreisselgasse,30–50 cm
Langwiesenweg,50–100 cm
Kirschgartenstraße,30–50 cm
Wassergasse,50–100 cm
Fasanenweg,50–100 cm
Bleichstraße,50–100 cm
Bennstraße,50–100 cm
Heumarktstraße,50–100 cm
Friedhofweg,30–50 cm
Im Ringgarten,50–100 cm
Burggarten,30–50 cm
Jahnplatz,30–50 cm
Am Schenkwiesenweg,30–50 cm
Karl-Ohler-Straße,50–100 cm
Kirrweilerer Straße,50–100 cm
Querstraße,30–50 cm
Weiherstraße,50–100 cm
Eichkehle,30–50 cm
Am Wassergraben,50–100 cm
Ägyptenpfad,30–50 cm
Bahnstraße,30–50 cm
Löwengasse,30–50 cm
Im Mandelacker,30–50 cm
An der Schießmauer,30–50 cm
Im Taubenrausch,30–50 cm
Fürstenweg,30–50 cm
Im Biengarten,50–100 cm
In der Türkengewanne,30–50 cm
Im Kränzler,30–50 cm
Im Hassert,50–100 cm
Langenböhl,50–100 cm
Zyriakusweg,50–100 cm
Bacchusweg,50–100 cm
Am Weinbach,50–100 cm
Walter-Rathenau-Straße,30–50 cm
Joppenholzstraße,50–100 cm
Bachstraße,50–100 cm
Mauerweg,50–100 cm
Berliner Straße,30–50 cm
St.-Urban-Straße,50–100 cm
Dalbergstraße,30–50 cm
An der Marlach,30–50 cm
Königsgarten,50–100 cm
Dr.-Julius-Siben-Straße,50–100 cm
Bischof-Ketteler-Straße,30–50 cm
Im Stöckelfeld,50–100 cm
Im Dörnel,30–50 cm
In den Sandwiesen,30–50 cm
Achtzehnmorgenpfad,30–50 cm
Burgunderweg,30–50 cm
Kirchbergweg,30–50 cm
Oberer Schnetzweg,30–50 cm
Im Jägergarten,50–100 cm
Apothekergasse,50–100 cm
Glockengasse,50–100 cm
Spelzenackerstraße,50–100 cm
Fischerstraße,30–50 cm
Von-Hutten-Straße,30–50 cm
Blainviller Straße,30–50 cm
Kastanienweg,30–50 cm
Dörrentalstraße,30–50 cm
Johann-Casimir-Straße,30–50 cm
Lambertusstraße,30–50 cm
Neutalstraße,50–100 cm
An der Steinmühle,30–50 cm
Hauberallee,30–50 cm
Königsmühle,30–50 cm
Stettiner Straße,50–100 cm
Karl-Rauch-Siedlung,30–50 cm
Lambrechter Straße,50–100 cm
Bonhoefferstraße,50–100 cm
Im Schafgarten,50–100 cm
Stangenbrunnengasse,30–50 cm
Erbgasse,50–100 cm
Im Häuselgarten,30–50 cm
Amalienstraße,50–100 cm
Hainstraße,50–100 cm
Moosbrunnenweg,30–50 cm
Am Pfefferminzbähnel,30–50 cm
