Breitengrad,Längengrad,Regen (mm/h),Überschwellig,Zeitstempel
49.26000291517351,8.012618724526817,0.0,False,2025-07-28T18:02:47.765495
49.26006417268703,8.081309305584828,0.0,False,2025-07-28T18:02:47.765495
49.26008459187908,8.15,0.0,False,2025-07-28T18:02:47.765495
49.26006417268703,8.218690694415173,0.0,False,2025-07-28T18:02:47.765495
49.26000291517351,8.287381275473184,0.0,False,2025-07-28T18:02:47.765495
49.30496066615751,8.012493776753773,0.0,False,2025-07-28T18:02:47.765495
49.30502202032543,8.081246831466704,0.0,False,2025-07-28T18:02:47.765495
49.30504247173571,8.15,0.0,False,2025-07-28T18:02:47.765495
49.30502202032543,8.218753168533297,0.0,False,2025-07-28T18:02:47.765495
49.30496066615751,8.287506223246227,0.0,False,2025-07-28T18:02:47.765495
49.34991806531574,8.012368516922187,0.0,False,2025-07-28T18:02:47.765495
49.349979516313155,8.081184201318237,0.0,False,2025-07-28T18:02:47.765495
49.35,8.15,0.0,False,2025-07-28T18:02:47.765495
49.349979516313155,8.218815798681764,0.0,False,2025-07-28T18:02:47.765495
49.34991806531574,8.287631483077813,0.0,False,2025-07-28T18:02:47.765495
49.39487511273506,8.012242944025356,0.0,False,2025-07-28T18:02:47.765495
49.394936660737606,8.081121414636073,0.0,False,2025-07-28T18:02:47.765495
49.39495717675961,8.15,0.0,False,2025-07-28T18:02:47.765495
49.394936660737606,8.218878585363928,0.0,False,2025-07-28T18:02:47.765495
49.39487511273506,8.287757055974645,0.0,False,2025-07-28T18:02:47.765495
49.43983180850314,8.01211705705208,0.0,False,2025-07-28T18:02:47.765495
49.43989345368712,8.081058470914604,0.0,False,2025-07-28T18:02:47.765495
49.439914002103016,8.15,0.0,False,2025-07-28T18:02:47.765495
49.43989345368712,8.218941529085397,0.0,False,2025-07-28T18:02:47.765495
49.43983180850314,8.28788294294792,0.0,False,2025-07-28T18:02:47.765495
